angry,disgust,fear,happy,sad,surprise
19.9367088608,0.738396624473,8.1223628692,29.1139240506,36.9198312236,5.16877637131
24.2424242424,0.835945663532,8.77742946708,25.6008359457,35.632183908,4.91118077325
22.1218961625,1.41083521445,11.7381489842,27.2009029345,33.4650112867,4.06320541761
18.6577181208,1.47651006711,11.0067114094,27.8747203579,36.3310961969,4.65324384787
22.8180262407,1.48317170565,9.69766115231,30.7472903594,29.4922989161,5.76155162578
22.3933649289,1.34281200632,11.4928909953,28.317535545,30.9636650869,5.4897314376
21.8119990284,1.38450327909,11.2946320136,33.6410007287,26.8642215205,5.00364342968
24.4545454545,1.0303030303,11.3333333333,26.8181818182,30.6060606061,5.75757575758
22.2551050607,1.33175495709,11.5714708494,23.9715892276,35.3358981947,5.53418171057
24.2167101828,1.04438642298,9.98694516971,23.1723237598,35.9660574413,5.6135770235
