,year,angry,disgust,fear,happy,sad,surprise
0,2008,11.6504854369,0.970873786408,8.09061488673,32.6860841424,38.8349514563,7.76699029126
1,2009,14.2857142857,1.07142857143,8.92857142857,28.9285714286,39.2857142857,7.5
2,2010,15.4804270463,0.711743772242,12.2775800712,31.3167259786,35.231316726,4.98220640569
3,2011,11.3907284768,1.98675496689,12.0529801325,32.0529801325,35.4966887417,7.01986754967
4,2012,12.6679462572,2.49520153551,13.0518234165,33.2053742802,30.3262955854,8.25335892514
5,2013,12.729498164,1.5911872705,12.3623011016,34.2717258262,31.82374541,7.22154222766
6,2014,15.6050955414,1.35350318471,13.5350318471,34.872611465,28.2643312102,6.36942675159
7,2015,17.1673819742,0.772532188841,12.6180257511,30.4721030043,30.3862660944,8.58369098712
8,2016,13.3443163097,1.89456342669,13.5914332784,28.665568369,35.1729818781,7.33113673806
9,2017,16.6666666667,1.26705653021,11.7933723197,28.9473684211,35.6725146199,5.6530214425
